D,c0,alpha,a,D_ls_px,c0_ls_px,alpha_ls_px,D_ls_rc,c0_ls_rc,alpha_ls_rc,D_ls_nn,c0_ls_nn,alpha_ls_nn
1.2386014,0.75,0.7,0.05,1.2360156774520874,0.7499368190765381,0.7008881568908691,1.2428689002990723,0.7471310496330261,0.7021341919898987,1.2492393255233765,0.751446545124054,0.6990286707878113
1.2386014,0.75,0.7,0.05,1.239532709121704,0.7497963309288025,0.6990073919296265,1.2468990087509155,0.749728798866272,0.6959590315818787,1.2678779363632202,0.754114031791687,0.6898733973503113
1.2386014,0.75,0.7,0.05,1.2437375783920288,0.7499995231628418,0.6989594101905823,1.2511850595474243,0.7498155236244202,0.695005476474762,1.2580957412719727,0.753774881362915,0.6998451948165894
1.2386014,0.75,0.7,0.05,1.2375589609146118,0.7500511407852173,0.6986654996871948,1.2451159954071045,0.7492231130599976,0.6963004469871521,1.24638831615448,0.7565602660179138,0.6894791722297668
1.2386014,0.75,0.7,0.05,1.2381067276000977,0.7500283718109131,0.6998453736305237,1.236191749572754,0.751383364200592,0.6999365091323853,1.2405312061309814,0.7577123641967773,0.6985123753547668
1.2386014,0.75,0.7,0.05,1.2374937534332275,0.7498415112495422,0.6994441747665405,1.2406797409057617,0.7491136193275452,0.6992325782775879,1.2512967586517334,0.7566459774971008,0.6962125301361084
1.2386014,0.75,0.7,0.05,1.2392040491104126,0.7498773336410522,0.6995952129364014,1.2171670198440552,0.7524006962776184,0.7073735594749451,1.2468576431274414,0.7513558268547058,0.6993162631988525
1.2386014,0.75,0.7,0.05,1.2352850437164307,0.7500395178794861,0.7019199728965759,1.243345022201538,0.7480817437171936,0.7007461786270142,1.2588354349136353,0.7456128597259521,0.6863440275192261
1.2386014,0.75,0.7,0.05,1.236485481262207,0.7498888969421387,0.6993676424026489,1.2321686744689941,0.7498176693916321,0.7014114260673523,1.2453645467758179,0.7548719644546509,0.7005601525306702
1.2386014,0.75,0.7,0.05,1.2386106252670288,0.7499496340751648,0.7004618644714355,1.2260656356811523,0.751701831817627,0.7048805356025696,1.2631230354309082,0.7567955851554871,0.6994907855987549
1.2386014,0.75,0.7,0.05,1.2440731525421143,0.7502376437187195,0.6987634897232056,1.2644199132919312,0.7497525215148926,0.6884115934371948,1.2621815204620361,0.7583357095718384,0.6932031512260437
1.2386014,0.75,0.7,0.05,1.2386033535003662,0.7498697638511658,0.7001713514328003,1.2407196760177612,0.7504392862319946,0.6982377767562866,1.2525708675384521,0.7546960711479187,0.6988765001296997
1.2386014,0.75,0.7,0.05,1.2402987480163574,0.7498853206634521,0.6996743083000183,1.2354001998901367,0.7506871819496155,0.6997531652450562,1.2655974626541138,0.747912585735321,0.6919211149215698
1.2386014,0.75,0.7,0.05,1.2418667078018188,0.7499395608901978,0.6986267566680908,1.2480645179748535,0.749137282371521,0.6966071128845215,1.2453460693359375,0.7544205188751221,0.7004340887069702
1.2386014,0.75,0.7,0.05,1.2387129068374634,0.7498706579208374,0.6994227766990662,1.237239122390747,0.751335859298706,0.6975839734077454,1.2452343702316284,0.7546501755714417,0.7006080746650696
1.2386014,0.75,0.7,0.05,1.2413009405136108,0.7500049471855164,0.6998581886291504,1.263271689414978,0.74543297290802,0.6947363018989563,1.263740062713623,0.7517765760421753,0.698857843875885
1.2386014,0.75,0.7,0.05,1.24031662940979,0.7500103712081909,0.7003915309906006,1.2329219579696655,0.7530472874641418,0.6994355916976929,1.2621914148330688,0.7526369094848633,0.6956641674041748
1.2386014,0.75,0.7,0.05,1.2363001108169556,0.7500441670417786,0.7010785937309265,1.2290616035461426,0.7528477311134338,0.6993756294250488,1.2615983486175537,0.7560939192771912,0.6958745718002319
1.2386014,0.75,0.7,0.05,1.239885926246643,0.7500910758972168,0.6968663334846497,1.23537278175354,0.7486971020698547,0.7017446756362915,1.2683738470077515,0.754844069480896,0.6983929872512817
1.2386014,0.75,0.7,0.05,1.2397680282592773,0.7500121593475342,0.6989213824272156,1.2527899742126465,0.7482324242591858,0.6941424608230591,1.259151577949524,0.7478845119476318,0.688441812992096
